Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"RBAR<2>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON98.2","1030","605","1B","[8]"
"RBAR<2>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON113.2,CON121.2","1055","585","1B","[6,8]"
"RBAR<2>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON113.2,CON121.2","985","175","1D","[6,8]"
"CI_TEN","OffPage","06. Rx_Link","6","SCHEMATIC1","CON88.13,CON96.4","730","625","2A","[8]"
"CI_TEN","OffPage","08. Rx_Function","8","SCHEMATIC1","CON119.4","770","605","2B","[6]"
"CI_MODE<1>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON88.12,CON96.5","730","635","2A","[8]"
"CI_MODE<1>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON119.5","770","615","2A","[6]"
"CI_POREN_N","OffPage","06. Rx_Link","6","SCHEMATIC1","CON88.15,CON96.2","730","605","2B","[8]"
"CI_POREN_N","OffPage","08. Rx_Function","8","SCHEMATIC1","CON119.2","770","585","2B","[6]"
"CI_CKIN","OffPage","06. Rx_Link","6","SCHEMATIC1","CON88.14,CON96.3","730","615","2A","[8]"
"CI_CKIN","OffPage","08. Rx_Function","8","SCHEMATIC1","CON119.3","770","595","2B","[6]"
"CI_RESET","OffPage","06. Rx_Link","6","SCHEMATIC1","CON88.16,CON96.1","730","595","2B","[8]"
"CI_RESET","OffPage","08. Rx_Function","8","SCHEMATIC1","CON119.1","770","575","2B","[6]"
"CI_MODE<0>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON88.11,CON96.6","730","645","2A","[8]"
"CI_MODE<0>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON119.6","770","625","2A","[6]"
"V_CON2","OffPage","05. Tx_Link","5","SCHEMATIC1","Q7.G","505","385","3C","[4]"
"V_CON2","OffPage","04. Tx_FPGA","4","SCHEMATIC1","CON62.3,U10.32","255","80","5D","[5]"
"Tx_Current","OffPage","05. Tx_Link","5","SCHEMATIC1","R61.1","1040","430","1B","[4]"
"Tx_Current","OffPage","04. Tx_FPGA","4","SCHEMATIC1","U10.52","650","255","3D","[5]"
"RBAR<1>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON98.3","1030","615","1A","[8]"
"RBAR<1>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON114.2,CON121.3","1055","595","1B","[6,8]"
"RBAR<1>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON114.2,CON121.3","985","245","1C","[6,8]"
"RBAR<3>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON98.1","1030","595","1B","[8]"
"RBAR<3>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON112.2,CON121.1","1055","575","1B","[6,8]"
"RBAR<3>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON112.2,CON121.1","985","115","1D","[6,8]"
"RBAR<0>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON98.4","1030","625","1A","[8]"
"RBAR<0>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON115.2,CON121.4","1055","605","1B","[6,8]"
"RBAR<0>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON115.2,CON121.4","985","315","1C","[6,8]"
"PPSKC<1>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON97.6","895","645","2A","[8]"
"PPSKC<1>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.6,R93.1","920","625","2A","[6]"
"PPSKC<0>","OffPage","06. Rx_Link","6","SCHEMATIC1","CON97.7","895","655","2A","[8]"
"PPSKC<0>","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.7,R94.1","920","635","2A","[6]"
"LSK_ON_Chip","OffPage","06. Rx_Link","6","SCHEMATIC1","CON97.4","895","625","2A","[8]"
"LSK_ON_Chip","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.4,U24.3","920","605","2B","[6]"
"CDR_O_BD","OffPage","06. Rx_Link","6","SCHEMATIC1","CON94.7","890","540","2B","[8]"
"CDR_O_BD","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.7","935","520","1B","[6]"
"CDR_O_DCK","OffPage","06. Rx_Link","6","SCHEMATIC1","CON94.6","890","530","2B","[8]"
"CDR_O_DCK","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.6","935","510","1B","[6]"
"CDR_O_RFCK","OffPage","06. Rx_Link","6","SCHEMATIC1","CON94.5","890","520","2B","[8]"
"CDR_O_RFCK","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.5","935","500","1B","[6]"
"CDR_I_VCK","OffPage","06. Rx_Link","6","SCHEMATIC1","CON94.2","890","490","2B","[8]"
"CDR_I_VCK","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.2,R102.2","935","470","1B","[6,8]"
"CDR_I_VCK","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.2,R102.2","385","710","4A","[6,8]"
"CDR_I_VDATA","OffPage","06. Rx_Link","6","SCHEMATIC1","CON94.3","890","500","2B","[8]"
"CDR_I_VDATA","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.3,R103.2","550","710","3A","[6,8]"
"CDR_I_VDATA","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.3,R103.2","935","480","1B","[6,8]"
"CDR_I_V1P2","OffPage","06. Rx_Link","6","SCHEMATIC1","CON94.4","890","510","2B","[8]"
"CDR_I_V1P2","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.4,R101.2","935","490","1B","[6,8]"
"CDR_I_V1P2","OffPage","08. Rx_Function","8","SCHEMATIC1","CON118.4,R101.2","230","710","4A","[6,8]"
"BGRO","OffPage","06. Rx_Link","6","SCHEMATIC1","CON97.1","895","595","2B","[8]"
"BGRO","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.1,RP4.1","615","60","3D","[6,8]"
"BGRO","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.1,RP4.1","920","575","2B","[6,8]"
"BGRO_0P9","OffPage","06. Rx_Link","6","SCHEMATIC1","CON97.2","895","605","2B","[8]"
"BGRO_0P9","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.2","920","585","2B","[6]"
"BGRO_1P2","OffPage","06. Rx_Link","6","SCHEMATIC1","CON97.3","895","615","2A","[8]"
"BGRO_1P2","OffPage","08. Rx_Function","8","SCHEMATIC1","CON120.3","920","595","2B","[6]"
"Back_Tel","OffPage","05. Tx_Link","5","SCHEMATIC1","C30.1,R45.2,R53.1","1070","120","1D","[4]"
